date,open_price,high_price,low_price,trade_price,volume
2024-02-15,2643.81,2643.86,2613.8,2613.8,621363093
2024-02-16,2635.63,2648.76,2625.01,2648.76,593841761
2024-02-19,2653.12,2683.39,2653.12,2680.26,422699048
2024-02-20,2671.55,2673.84,2643.93,2657.79,612668186
2024-02-21,2656.92,2670.95,2644.04,2653.31,562144348
2024-02-22,2671.69,2671.69,2653.99,2664.27,456396847
2024-02-23,2681.03,2694.8,2665.21,2667.7,415376166
2024-02-26,2657.35,2659.6,2629.78,2647.08,531661427
2024-02-27,2654.76,2654.76,2619.38,2625.05,574301706
2024-02-28,2629.11,2657.32,2623.15,2652.29,421552569
2024-02-29,2643.48,2647.56,2628.62,2642.36,496064469
2024-03-04,2664.52,2682.8,2662.32,2674.27,404014324
2024-03-05,2660.8,2684.83,2649.35,2649.4,457237152
2024-03-06,2638.84,2649.78,2630.16,2641.49,378993989
2024-03-07,2653.98,2660.26,2633.57,2647.62,462910823
2024-03-08,2676.79,2688.0,2668.38,2677.22,435697586
